date,lang,label_GR,v2_NWO,subplatform,counts,platform
2013-02-11,ger,0,0,SZ,8,legnews
2013-02-11,ger,1,0,SZ,2,legnews
2013-02-12,ger,0,0,SZ,4,legnews
2013-02-12,ger,1,0,SZ,3,legnews
2013-02-13,ger,0,0,SZ,8,legnews
2013-02-13,ger,1,0,SZ,2,legnews
2013-02-14,ger,0,0,SZ,6,legnews
2013-02-14,ger,1,0,SZ,2,legnews
2013-02-15,ger,0,0,SZ,11,legnews
2013-02-15,ger,1,0,SZ,4,legnews
2013-02-16,ger,0,0,SZ,14,legnews
2013-02-16,ger,1,0,SZ,3,legnews
2013-02-18,ger,0,0,SZ,10,legnews
2013-02-18,ger,1,0,SZ,1,legnews
2013-02-19,ger,0,0,SZ,12,legnews
2013-02-19,ger,1,0,SZ,3,legnews
2013-02-20,ger,0,0,SZ,5,legnews
2013-02-20,ger,1,0,SZ,4,legnews
2013-02-21,ger,0,0,SZ,9,legnews
2013-02-21,ger,1,0,SZ,3,legnews
2013-02-22,ger,0,0,SZ,7,legnews
2013-02-22,ger,1,0,SZ,1,legnews
2013-02-23,ger,0,0,SZ,5,legnews
2013-02-23,ger,1,0,SZ,2,legnews
2013-02-25,ger,0,0,SZ,9,legnews
2013-02-25,ger,1,0,SZ,1,legnews
2013-02-26,ger,0,0,SZ,5,legnews
2013-02-27,ger,0,0,SZ,3,legnews
2013-02-27,ger,1,0,SZ,2,legnews
2013-02-28,ger,0,0,SZ,11,legnews
2013-02-28,ger,1,0,SZ,1,legnews
2013-03-01,ger,0,0,SZ,8,legnews
2013-03-01,ger,1,0,SZ,2,legnews
2013-03-02,ger,0,0,SZ,3,legnews
2013-03-02,ger,1,0,SZ,1,legnews
2013-03-04,ger,0,0,SZ,10,legnews
2013-03-04,ger,1,0,SZ,2,legnews
2013-03-05,ger,0,0,SZ,5,legnews
2013-03-05,ger,1,0,SZ,4,legnews
2013-03-06,ger,0,0,SZ,7,legnews
2013-03-06,ger,1,0,SZ,3,legnews
2013-03-07,ger,0,0,SZ,8,legnews
2013-03-07,ger,1,0,SZ,3,legnews
2013-03-08,ger,0,0,SZ,8,legnews
2013-03-08,ger,0,1,SZ,1,legnews
2013-03-09,ger,0,0,SZ,9,legnews
2013-03-09,ger,1,0,SZ,1,legnews
2013-03-11,ger,0,0,SZ,8,legnews
2013-03-11,ger,1,0,SZ,1,legnews
2013-03-12,ger,0,0,SZ,12,legnews
2013-03-12,ger,1,0,SZ,2,legnews
2013-03-13,ger,0,0,SZ,4,legnews
2013-03-13,ger,1,0,SZ,2,legnews
2013-03-14,ger,0,0,SZ,4,legnews
2013-03-14,ger,1,0,SZ,1,legnews
2013-03-15,ger,0,0,SZ,5,legnews
2013-03-15,ger,1,0,SZ,3,legnews
2013-03-16,ger,0,0,SZ,5,legnews
2013-03-16,ger,1,0,SZ,2,legnews
2013-03-27,ger,0,0,SZ,2,legnews
2013-03-28,ger,0,0,SZ,6,legnews
2013-03-28,ger,0,1,SZ,1,legnews
2013-03-28,ger,1,0,SZ,3,legnews
2013-03-30,ger,0,0,SZ,8,legnews
2013-03-30,ger,1,0,SZ,4,legnews
2013-04-02,ger,0,0,SZ,8,legnews
2013-04-03,ger,0,0,SZ,6,legnews
2013-04-04,ger,0,0,SZ,9,legnews
2013-04-05,ger,0,0,SZ,6,legnews
2013-04-05,ger,0,1,SZ,1,legnews
2013-04-05,ger,1,0,SZ,4,legnews
2013-04-06,ger,0,0,SZ,9,legnews
2013-04-06,ger,1,0,SZ,1,legnews
2013-04-08,ger,0,0,SZ,6,legnews
2013-04-08,ger,1,0,SZ,2,legnews
2013-04-09,ger,0,0,SZ,6,legnews
2013-04-09,ger,0,1,SZ,2,legnews
2013-04-09,ger,1,0,SZ,3,legnews
2013-04-10,ger,0,0,SZ,10,legnews
2013-04-10,ger,1,0,SZ,3,legnews
2013-06-12,ger,0,0,SZ,7,legnews
2013-06-12,ger,1,0,SZ,1,legnews
2013-06-13,ger,0,0,SZ,5,legnews
2013-06-13,ger,1,0,SZ,1,legnews
2013-06-14,ger,0,0,SZ,10,legnews
2013-06-14,ger,1,0,SZ,7,legnews
2013-06-15,ger,0,0,SZ,7,legnews
2013-06-15,ger,1,0,SZ,4,legnews
2013-06-17,ger,0,0,SZ,4,legnews
2013-06-17,ger,1,0,SZ,4,legnews
2013-06-18,ger,0,0,SZ,5,legnews
2013-06-18,ger,1,0,SZ,1,legnews
2013-06-19,ger,0,0,SZ,3,legnews
2013-06-19,ger,1,0,SZ,5,legnews
2013-06-20,ger,0,0,SZ,14,legnews
2013-06-20,ger,1,0,SZ,5,legnews
2013-06-21,ger,0,0,SZ,13,legnews
