date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-12-20,eng,0,0,WP,4,legnews
2011-12-21,eng,0,0,WP,1,legnews
2011-12-22,eng,0,0,WP,8,legnews
2011-12-22,eng,1,0,WP,1,legnews
2011-12-23,eng,0,0,WP,1,legnews
2011-12-24,eng,1,0,WP,2,legnews
2011-12-25,eng,0,0,WP,5,legnews
2011-12-25,eng,1,0,WP,1,legnews
2011-12-26,eng,0,0,WP,1,legnews
2011-12-28,eng,0,0,WP,1,legnews
2011-12-29,eng,0,0,WP,2,legnews
2011-12-30,eng,0,0,WP,6,legnews
2011-12-30,eng,1,0,WP,1,legnews
2011-12-31,eng,0,0,WP,2,legnews
2012-01-01,eng,0,0,WP,2,legnews
2012-01-04,eng,0,0,WP,1,legnews
2012-01-04,eng,1,0,WP,1,legnews
2012-01-05,eng,0,0,WP,3,legnews
2012-01-05,eng,1,0,WP,1,legnews
2012-01-07,eng,0,0,WP,1,legnews
2012-01-08,eng,0,0,WP,1,legnews
2012-01-09,eng,0,0,WP,1,legnews
2012-01-12,eng,0,0,WP,6,legnews
2012-01-13,eng,0,0,WP,1,legnews
2012-01-14,eng,0,0,WP,2,legnews
2012-01-16,eng,0,0,WP,4,legnews
2012-01-18,eng,1,0,WP,1,legnews
2012-01-19,eng,0,0,WP,8,legnews
2012-01-20,eng,0,0,WP,2,legnews
2012-01-21,eng,0,0,WP,1,legnews
2012-01-22,eng,0,0,WP,2,legnews
2012-01-26,eng,0,0,WP,3,legnews
2013-01-01,eng,0,0,WP,1,legnews
2013-01-03,eng,0,0,WP,4,legnews
2013-01-04,eng,0,0,WP,3,legnews
2013-01-05,eng,0,0,WP,1,legnews
2013-01-06,eng,1,0,WP,1,legnews
2013-01-07,eng,0,0,WP,2,legnews
2013-01-08,eng,0,0,WP,1,legnews
2013-01-09,eng,0,0,WP,2,legnews
2013-01-10,eng,0,0,WP,5,legnews
2013-01-10,eng,1,0,WP,1,legnews
2013-01-11,eng,0,0,WP,4,legnews
2013-01-11,eng,1,0,WP,1,legnews
2013-01-12,eng,0,0,WP,1,legnews
2013-01-12,eng,1,0,WP,1,legnews
2013-01-13,eng,0,0,WP,3,legnews
2013-01-13,eng,1,0,WP,1,legnews
2013-01-14,eng,0,0,WP,1,legnews
2013-01-15,eng,0,0,WP,3,legnews
2013-01-16,eng,0,0,WP,1,legnews
2013-01-17,eng,0,0,WP,8,legnews
2013-01-18,eng,0,0,WP,4,legnews
2013-01-19,eng,0,0,WP,2,legnews
2013-01-20,eng,0,0,WP,4,legnews
2013-01-21,eng,0,0,WP,4,legnews
2013-01-22,eng,1,0,WP,2,legnews
2013-01-23,eng,0,0,WP,2,legnews
2013-01-23,eng,1,0,WP,1,legnews
2013-01-24,eng,0,0,WP,5,legnews
2013-01-25,eng,0,0,WP,2,legnews
2013-01-26,eng,0,0,WP,1,legnews
2013-01-27,eng,0,0,WP,7,legnews
